Date,Slot No.,AVG PM1,AVG PM2.5,AVG PM10
11-02-2022,SLOT-5,6.979666666666664,14.864500000000001,33.09649999999999
11-02-2022,SLOT-6,6.914833333333333,14.414666666666665,33.928
11-02-2022,SLOT-7,6.884666666666666,13.358833333333335,28.19783333333332
11-02-2022,SLOT-8,7.679,14.44833333333333,31.072666666666667
11-02-2022,SLOT-9,8.096666666666666,15.093833333333338,33.02033333333333
11-02-2022,SLOT-10,7.747796610169491,14.846779661016958,31.91949152542373
11-02-2022,SLOT-11,5.942711864406783,11.781864406779663,28.359322033898295
11-02-2022,SLOT-12,3.8816666666666673,8.244333333333335,20.439000000000004
11-02-2022,SLOT-13,3.5596363636363644,7.506545454545458,18.292909090909085
11-02-2022,SLOT-14,3.5020338983050854,7.446440677966103,19.240677966101696
11-02-2022,SLOT-15,3.4538596491228066,7.493859649122806,19.887894736842103
11-02-2022,SLOT-16,3.5967272727272728,7.890727272727271,20.868000000000006
11-02-2022,SLOT-17,3.8774999999999995,8.283166666666666,22.16283333333333
11-02-2022,SLOT-18,4.564655172413792,9.17258620689655,24.60068965517242
11-02-2022,SLOT-19,5.0086666666666675,9.88016666666667,26.37833333333333
11-02-2022,SLOT-20,6.212666666666668,12.153666666666672,31.92983333333332
11-02-2022,SLOT-21,6.728833333333335,12.711333333333336,32.01650000000001
11-02-2022,SLOT-22,8.311000000000002,15.424333333333335,35.96333333333333
11-02-2022,SLOT-22,8.311000000000002,15.424333333333335,35.96333333333333
11-02-2022,SLOT-24,10.688000000000006,21.64083333333333,42.86550000000001
12-02-2022,SLOT-1,9.152033898305087,17.307796610169493,36.57186440677964
12-02-2022,SLOT-2,10.954,19.299666666666663,38.46933333333334
12-02-2022,SLOT-3,8.642833333333332,14.913833333333335,31.12966666666666
12-02-2022,SLOT-4,6.718500000000001,12.065500000000004,27.225666666666662
12-02-2022,SLOT-5,9.132833333333332,15.3545,28.27333333333333
12-02-2022,SLOT-6,6.296999999999999,11.219666666666665,22.70433333333333
12-02-2022,SLOT-7,4.882500000000002,9.31966666666667,20.616500000000006
12-02-2022,SLOT-8,4.4545,8.708333333333332,19.000666666666664
12-02-2022,SLOT-9,4.294333333333333,8.42066666666667,20.627000000000006
12-02-2022,SLOT-10,4.478813559322033,8.877118644067794,19.998135593220336
12-02-2022,SLOT-11,6.671833333333334,12.790833333333335,26.2265
12-02-2022,SLOT-12,4.067166666666666,7.9113333333333316,17.408333333333328
12-02-2022,SLOT-13,3.3524999999999996,6.7828333333333335,15.788999999999996
12-02-2022,SLOT-14,3.4145,6.9843333333333355,16.8645
12-02-2022,SLOT-15,3.0318333333333327,6.487333333333334,16.67383333333334
12-02-2022,SLOT-16,3.149666666666666,6.894166666666668,19.866333333333333
12-02-2022,SLOT-17,3.409666666666666,7.3663333333333325,21.787333333333326
12-02-2022,SLOT-18,3.6761666666666675,7.585833333333332,21.873166666666673
12-02-2022,SLOT-19,4.2363333333333335,8.036999999999999,20.78516666666666
12-02-2022,SLOT-20,4.575500000000001,8.986166666666668,26.759499999999996
12-02-2022,SLOT-21,7.1191666666666675,13.353999999999997,31.335833333333333
12-02-2022,SLOT-22,7.035,13.150499999999997,30.29216666666666
12-02-2022,SLOT-22,7.035,13.150499999999997,30.29216666666666
12-02-2022,SLOT-24,9.897666666666664,17.94033333333334,33.629166666666656
13-02-2022,SLOT-1,8.00677966101695,15.076610169491527,30.716610169491524
13-02-2022,SLOT-2,7.080833333333334,13.25216666666667,32.347166666666666
13-02-2022,SLOT-3,8.283833333333332,14.198500000000001,28.566
13-02-2022,SLOT-4,8.286666666666667,13.563833333333328,26.341833333333334
13-02-2022,SLOT-5,9.053666666666665,14.936666666666662,29.786666666666665
13-02-2022,SLOT-6,9.398,15.186500000000002,29.279666666666667
13-02-2022,SLOT-7,7.654666666666667,12.970666666666668,28.01483333333334
13-02-2022,SLOT-8,8.028999999999998,13.277499999999998,27.328666666666674
13-02-2022,SLOT-9,7.656166666666663,12.421333333333333,23.805833333333336
13-02-2022,SLOT-10,6.463333333333335,10.751500000000002,21.281333333333336
13-02-2022,SLOT-11,5.397,9.248333333333331,19.968666666666664
13-02-2022,SLOT-12,4.346833333333334,7.983333333333333,17.916833333333333
13-02-2022,SLOT-13,3.9798305084745764,7.597966101694919,17.50864406779661
13-02-2022,SLOT-14,3.5775000000000006,7.0108333333333315,17.407833333333333
13-02-2022,SLOT-15,3.5783636363636364,6.930181818181818,16.29654545454546
13-02-2022,SLOT-16,3.9166666666666656,7.719666666666667,20.94833333333333
13-02-2022,SLOT-17,4.545499999999999,9.0365,25.705666666666666
13-02-2022,SLOT-18,4.533666666666668,8.920166666666665,24.367333333333338
13-02-2022,SLOT-19,5.124166666666667,9.554333333333336,25.331666666666667
13-02-2022,SLOT-20,6.459833333333335,11.804833333333336,31.370333333333328
13-02-2022,SLOT-21,7.24,12.843166666666662,32.44650000000001
13-02-2022,SLOT-22,8.196166666666667,14.142166666666666,32.30116666666668
13-02-2022,SLOT-22,8.196166666666667,14.142166666666666,32.30116666666668
13-02-2022,SLOT-24,9.874666666666663,17.26366666666667,33.13583333333333
14-02-2022,SLOT-1,9.35949152542373,16.02389830508475,30.484915254237293
14-02-2022,SLOT-2,12.872166666666665,21.317,39.82
14-02-2022,SLOT-3,12.152000000000003,19.008,32.10266666666666
14-02-2022,SLOT-4,14.475166666666665,22.491166666666672,37.282500000000006
14-02-2022,SLOT-5,14.485666666666667,22.249999999999993,36.68083333333333
14-02-2022,SLOT-6,13.913333333333329,21.400166666666667,33.50150000000001
14-02-2022,SLOT-7,12.279833333333336,18.254333333333328,29.60433333333333
14-02-2022,SLOT-8,11.599833333333333,17.386833333333332,29.435833333333346
14-02-2022,SLOT-9,8.545666666666667,13.218333333333332,23.89633333333334
14-02-2022,SLOT-10,6.7936666666666685,10.767000000000003,21.5855
14-02-2022,SLOT-11,6.520666666666666,10.64916666666667,23.122166666666676
14-02-2022,SLOT-12,5.603666666666668,9.549666666666667,21.615999999999996
14-02-2022,SLOT-13,5.283000000000001,9.071500000000002,19.90016666666667
14-02-2022,SLOT-14,4.012203389830508,7.764915254237288,20.086610169491525
14-02-2022,SLOT-15,5.064333333333335,9.351833333333333,23.467666666666663
14-02-2022,SLOT-16,5.253833333333333,9.479999999999997,22.496999999999993
14-02-2022,SLOT-17,4.447333333333334,8.49783333333333,22.295666666666655
14-02-2022,SLOT-18,4.236666666666666,8.408333333333331,23.018666666666665
14-02-2022,SLOT-19,5.2616666666666685,9.846000000000004,26.42483333333333
14-02-2022,SLOT-20,4.8771666666666675,9.734333333333334,27.66799999999999
14-02-2022,SLOT-21,5.089500000000002,10.032833333333334,26.202833333333338
14-02-2022,SLOT-22,5.3178333333333345,11.475999999999997,33.14516666666666
14-02-2022,SLOT-22,5.3178333333333345,11.475999999999997,33.14516666666666
14-02-2022,SLOT-24,9.557999999999996,17.19733333333333,35.39383333333333
