YEAR,MO,DY,HR,T2M,RH2M,WS2M,WD2M,
2021,12,18,10,23.85,66.5,1.69,83.89,12/18/2021
2021,12,18,11,25.15,61.19,1.61,83.87,12/18/2021
2021,12,18,12,25.87,57.69,1.49,85.49,12/18/2021
2021,12,18,13,26.18,55.75,1.32,87.63,12/18/2021
2021,12,18,14,26.19,56.69,1.09,88.76,12/18/2021
2021,12,18,15,26.31,58.19,0.77,87.69,12/18/2021
2021,12,18,16,25.51,60.06,0.68,78.82,12/18/2021
2021,12,18,17,23.87,63.88,0.65,70.48,12/18/2021
2021,12,18,18,22.62,60.94,0.84,57.94,12/18/2021
2021,12,18,19,20.77,68.94,0.99,55.56,12/18/2021
2021,12,18,20,18.73,78.06,0.97,63.23,12/18/2021
2021,12,18,21,17.37,79.88,0.82,71.74,12/18/2021
2021,12,18,22,17.22,76.25,0.83,75.31,12/18/2021
2021,12,18,23,16.56,77.38,0.83,76.36,12/18/2021
2021,12,19,0,15.85,78.81,0.86,77.36,12/19/2021
2021,12,19,1,15.26,79.5,0.92,78.69,12/19/2021
2021,12,19,2,14.72,79.81,1.01,79.73,12/19/2021
2021,12,19,3,14.26,79.94,1.19,80.54,12/19/2021
2021,12,19,4,13.69,81.06,1.16,80.28,12/19/2021
2021,12,19,5,13.15,83.81,1.12,79.16,12/19/2021
2021,12,19,6,12.86,85.44,1.18,80.1,12/19/2021
2021,12,19,7,14.02,81.94,1.64,79.6,12/19/2021
2021,12,19,8,16.55,77,1.72,78.18,12/19/2021
2021,12,19,9,20,69.06,2.08,82.02,12/19/2021
