Date,Slot No.,Alpha_Sensor,PMS_A003,Temp,RelHum
24-12-2021,SLOT-17,40.35666667,103.7457627,34.205,40.2
24-12-2021,SLOT-18,46.70864407,111.8474576,34.4559322,46.71355932
24-12-2021,SLOT-19,63.08233333,129.8983051,32.21166667,53.20166667
24-12-2021,SLOT-20,63.44483333,125.6779661,31.215,56.145
24-12-2021,SLOT-21,59.31183333,120.2372881,30.705,57.625
24-12-2021,SLOT-22,61.86033333,120.5254237,30.17333333,58.83333333
24-12-2021,SLOT-22,61.86033333,120.5254237,30.17333333,58.83333333
24-12-2021,SLOT-24,98.61833333,143.8135593,28.84666667,61.71666667
25-12-2021,SLOT-1,107.4925424,146.4482759,28.54576271,62.59322034
25-12-2021,SLOT-2,198.9627273,151.220339,27.94793388,64.10578512
25-12-2021,SLOT-11,19.82,85,41.25454545,34.24545455
25-12-2021,SLOT-12,17.66363636,80.52542373,45.53272727,27.14181818
25-12-2021,SLOT-13,14.88111111,68.12121212,47.08888889,21.7037037
25-12-2021,SLOT-17,18.70285714,51.11864407,35.08571429,44.36666667
25-12-2021,SLOT-18,21.454,57.54237288,33.87833333,47.93666667
25-12-2021,SLOT-19,24.59633333,56,31.84833333,53.64833333
25-12-2021,SLOT-20,29.466,59.18965517,30.73166667,57.205
25-12-2021,SLOT-21,30.258,61.83050847,30.08,56.175
25-12-2021,SLOT-22,31.52183333,64.89830508,29.52333333,55.38166667
25-12-2021,SLOT-22,31.52183333,64.89830508,29.52333333,55.38166667
25-12-2021,SLOT-24,56.84135593,104.3050847,28.81355932,60.04237288
26-12-2021,SLOT-1,65.14033898,109.4827586,28.52372881,61.44237288
26-12-2021,SLOT-2,59.059,85.76271186,28.30333333,61.72
26-12-2021,SLOT-3,78.93983333,89.20338983,27.965,63.34333333
26-12-2021,SLOT-4,79.276,84.52542373,27.675,64.32166667
26-12-2021,SLOT-5,76.53508475,85.08474576,27.37288136,64.63220339
26-12-2021,SLOT-6,79.15627119,92.11864407,27.12711864,64.3559322
26-12-2021,SLOT-7,92.60166667,92.55932203,26.68,65.17833333
26-12-2021,SLOT-8,64.98866667,91.16949153,27.00666667,63.61
26-12-2021,SLOT-9,32.43,81.88135593,30.65762712,53.49830508
26-12-2021,SLOT-10,27.12724138,80.08474576,36.0362069,41.85344828
26-12-2021,SLOT-11,22.24733333,60.83050847,39.84666667,35.80666667
26-12-2021,SLOT-12,21.11224138,53,42.13448276,29.49827586
26-12-2021,SLOT-13,24.985,53,38.3137931,31.13103448
26-12-2021,SLOT-14,23.51142857,65.84745763,37.19642857,37.45357143
26-12-2021,SLOT-15,23.706,63.88333333,36.69833333,36.76666667
26-12-2021,SLOT-16,26.57033333,71.55932203,35.645,40.78
26-12-2021,SLOT-17,31.17883333,82.47457627,35.87333333,45.53666667
26-12-2021,SLOT-18,40.113,95.66101695,34.22166667,50.18833333
26-12-2021,SLOT-19,57.98166667,111.1724138,31.95166667,56.29
26-12-2021,SLOT-20,79.93431034,125.1355932,30.83965517,60.00862069
26-12-2021,SLOT-21,97.44166667,145.3898305,30.58,60.60833333
26-12-2021,SLOT-22,118.5465,154.2372881,30.25,61.52666667
26-12-2021,SLOT-22,118.5465,154.2372881,30.25,61.52666667
26-12-2021,SLOT-24,126.5403333,154.1694915,29.44166667,62.75166667
27-12-2021,SLOT-1,151.8977966,147.6896552,28.92711864,63.7559322
27-12-2021,SLOT-2,163.4803333,150.3965517,28.77333333,64.69666667
27-12-2021,SLOT-3,141.0726667,141.8644068,28.50666667,64.78
27-12-2021,SLOT-4,154.1527119,136.0338983,28.09830508,65.73728814
27-12-2021,SLOT-5,147.8329787,135.2033898,27.85319149,66.92553191
27-12-2021,SLOT-6,156.1809091,151.3050847,27.85454545,66.88181818
27-12-2021,SLOT-8,81.33551724,120.6101695,27.53103448,66.21724138
27-12-2021,SLOT-9,37.74882353,101.3220339,26.85588235,70.09117647
27-12-2021,SLOT-10,20.89,80.05555556,27.05675676,70.51621622
27-12-2021,SLOT-11,29.09285714,64.54545455,27.09047619,69.30952381
27-12-2021,SLOT-12,18.06271186,52.86111111,27.99322034,65.77118644
27-12-2021,SLOT-13,20.67660714,64.54545455,34.03035714,50.51071429
27-12-2021,SLOT-14,24.68283333,52.86111111,45.08,25.04666667
27-12-2021,SLOT-15,27.488,64.54545455,47.85,21.56333333
27-12-2021,SLOT-16,24.89883333,52.86111111,40.87,30.835
27-12-2021,SLOT-17,24.5375,64.54545455,35.97166667,37.28166667
27-12-2021,SLOT-18,28.17816667,52.86111111,34.215,36.68833333
27-12-2021,SLOT-19,42.29016667,80.05555556,32.39166667,35.37833333
27-12-2021,SLOT-20,49.98933333,64.54545455,32.025,40.80333333
27-12-2021,SLOT-21,55.80033333,52.86111111,30.22833333,50.355
27-12-2021,SLOT-22,58.263,141.8644068,30.13,56.12666667
27-12-2021,SLOT-22,58.263,136.0338983,30.13,56.12666667
27-12-2021,SLOT-24,71.56083333,135.2033898,29.73833333,57.83
28-12-2021,SLOT-1,61.20831933,151.3050847,29.4512605,57.14201681
28-12-2021,SLOT-2,76.51441667,120.6101695,29.11083333,57.98916667
28-12-2021,SLOT-3,89.04058333,101.3220339,28.7425,59.21083333
28-12-2021,SLOT-4,100.04975,80.05555556,28.2475,61.90666667
28-12-2021,SLOT-5,86.44277311,64.54545455,27.97058824,63.52773109
28-12-2021,SLOT-6,82.14010204,52.86111111,27.46020408,65.02040816
28-12-2021,SLOT-7,96.63295238,120.6101695,27.37142857,64.4847619
28-12-2021,SLOT-8,63.68633333,120.6101695,27,65.39166667
28-12-2021,SLOT-9,26.53083333,63.42372881,26.67604167,65.43229167
28-12-2021,SLOT-10,19.61608333,62.28813559,26.44083333,65.89916667
28-12-2021,SLOT-11,14.30071429,59.08474576,27.45816327,61.41530612
28-12-2021,SLOT-12,11.13156522,10.06453782,30.84086957,51.8573913
28-12-2021,SLOT-13,10.06453782,52.25,37.02941176,38.51764706
28-12-2021,SLOT-14,12.85442478,56.16949153,42.67610619,24.20353982
28-12-2021,SLOT-15,16.7973,71.20338983,46.811,17.677
28-12-2021,SLOT-16,20.427,74.93220339,45.63833333,19.345
28-12-2021,SLOT-17,15.29033898,64.88135593,38.17627119,32.26440678
28-12-2021,SLOT-18,18.51133333,80.47457627,36.42,36.9
28-12-2021,SLOT-19,27.02666667,96.17241379,34.25166667,37.71666667
28-12-2021,SLOT-20,31.43783333,106.9830508,31.64666667,38.89
28-12-2021,SLOT-21,40.20816667,123.1016949,29.58166667,45.13666667
28-12-2021,SLOT-22,47.0185,119.9322034,29.905,53.40666667
28-12-2021,SLOT-22,47.0185,119.9322034,29.905,53.40666667
28-12-2021,SLOT-24,48.94083333,129.3898305,29.90666667,55.84333333
29-12-2021,SLOT-15,19.33411765,76.9137931,44.98823529,19.02352941
29-12-2021,SLOT-16,20.07561404,85.38983051,39.63508772,24.48070175
29-12-2021,SLOT-17,19.57633333,84.6440678,36.98333333,32.47833333
29-12-2021,SLOT-18,18.40844828,84.91525424,34.70862069,35.96034483
29-12-2021,SLOT-19,24.74233333,98.88135593,33.3,39.67333333
29-12-2021,SLOT-20,27.5985,99.88135593,31.51333333,39.54
29-12-2021,SLOT-21,32.508,112.3389831,29.12166667,43.63166667
29-12-2021,SLOT-22,37.22816667,116.0847458,29.58166667,51.52833333
29-12-2021,SLOT-22,37.22816667,116.0847458,29.58166667,51.52833333
29-12-2021,SLOT-24,40.3305,113.220339,29.69,54.77333333
30-12-2021,SLOT-1,44.88966102,118.0862069,29.61186441,54.24745763
30-12-2021,SLOT-2,47.77633333,116.4137931,29.19,55.57833333
30-12-2021,SLOT-3,48.87116667,115.7288136,28.80166667,59.74833333
30-12-2021,SLOT-4,66.03633333,120.779661,28.50166667,60.57666667
30-12-2021,SLOT-5,52.92316667,110.4745763,28.22,61.235
30-12-2021,SLOT-6,37.1745,100.1864407,27.86333333,62.35
30-12-2021,SLOT-7,39.96633333,101.3898305,27.28333333,63.73333333
30-12-2021,SLOT-8,30.01116667,94.72881356,27.23666667,62.015
30-12-2021,SLOT-9,18.24433333,72.10169492,26.925,61.19166667
30-12-2021,SLOT-10,13.787,55.94915254,26.70333333,62.23666667
30-12-2021,SLOT-11,10.52883333,47.4137931,28.83,54.215
30-12-2021,SLOT-12,10.11016667,45.42372881,34.09333333,42.06
30-12-2021,SLOT-13,9.858333333,44.16949153,38.465,33.25
30-12-2021,SLOT-14,10.7025,44.08474576,40.78666667,27.4
30-12-2021,SLOT-15,9.690833333,42.93220339,43.7,23.475
30-12-2021,SLOT-16,10.53322034,44.45762712,39.62711864,27.70847458
30-12-2021,SLOT-17,10.899,44.94827586,36.19,31.3
30-12-2021,SLOT-18,14.33433333,51.6440678,36.63,31.52
30-12-2021,SLOT-19,20.26383333,56.25423729,35.565,31.05
30-12-2021,SLOT-20,21.761,59.84745763,32.49166667,33.77166667
30-12-2021,SLOT-21,32.21283333,74.71186441,29.9,42.16666667
30-12-2021,SLOT-22,24.769,59.47457627,30.24333333,51.13333333
30-12-2021,SLOT-22,24.769,59.47457627,30.24333333,51.13333333
30-12-2021,SLOT-24,28.05416667,62.94915254,30.78166667,53.14833333
31-12-2021,SLOT-1,40.05050847,74.32758621,30.86779661,52.95084746
31-12-2021,SLOT-2,34.2875,69.50847458,30.50333333,53.61666667
31-12-2021,SLOT-3,24.25233333,58.47457627,30.08,55.45166667
31-12-2021,SLOT-4,18.474,50.49152542,29.49666667,57.49833333
31-12-2021,SLOT-5,16.7755,47.05172414,29.16833333,54.89333333
31-12-2021,SLOT-6,16.9475,45.94915254,28.81666667,51.97666667
31-12-2021,SLOT-7,17.95366667,47.08474576,28.81333333,49.28833333
