Date,Slot No.,RefSt,Sensor_O3,Temp,RelHum
28-12-2021,SLOT-22,86.35116667,133.3220339,29.905,53.40666667
28-12-2021,SLOT-24,82.24633333,142.4576271,29.90666667,55.84333333
29-12-2021,SLOT-15,32.22294118,83.46551724,44.98823529,19.02352941
29-12-2021,SLOT-16,32.41982456,93.20338983,39.63508772,24.48070175
29-12-2021,SLOT-17,30.71133333,92.45762712,36.98333333,32.47833333
29-12-2021,SLOT-18,28.55103448,91.6440678,34.70862069,35.96034483
29-12-2021,SLOT-19,39.47833333,107.8983051,33.3,39.67333333
29-12-2021,SLOT-20,40.10183333,108.6440678,31.51333333,39.54
29-12-2021,SLOT-21,49.19383333,122.3559322,29.12166667,43.63166667
29-12-2021,SLOT-22,57.77016667,127.2542373,29.58166667,51.52833333
29-12-2021,SLOT-22,57.77016667,127.2542373,29.58166667,51.52833333
29-12-2021,SLOT-24,60.14333333,123.4745763,29.69,54.77333333
30-12-2021,SLOT-1,62.85220339,130.2931034,29.61186441,54.24745763
30-12-2021,SLOT-2,65.50516667,128.6551724,29.19,55.57833333
30-12-2021,SLOT-3,63.78733333,127.4745763,28.80166667,59.74833333
30-12-2021,SLOT-4,86.80716667,133.779661,28.50166667,60.57666667
30-12-2021,SLOT-5,67.08783333,121.9322034,28.22,61.235
30-12-2021,SLOT-6,46.93483333,110.220339,27.86333333,62.35
30-12-2021,SLOT-7,49.995,111.0677966,27.28333333,63.73333333
30-12-2021,SLOT-8,39.38683333,103.1355932,27.23666667,62.015
30-12-2021,SLOT-9,38.09083333,79.69491525,26.925,61.19166667
30-12-2021,SLOT-10,29.0265,68.54237288,26.70333333,62.23666667
30-12-2021,SLOT-11,19.539,58.9137931,28.83,54.215
30-12-2021,SLOT-12,19.1645,55.86440678,34.09333333,42.06
30-12-2021,SLOT-13,17.812,54.37288136,38.465,33.25
30-12-2021,SLOT-14,20.6115,54.59322034,40.78666667,27.4
30-12-2021,SLOT-15,18.36366667,52.84745763,43.7,23.475
30-12-2021,SLOT-16,19.16525424,55.38983051,39.62711864,27.70847458
30-12-2021,SLOT-17,18.283,55.56896552,36.19,31.3
30-12-2021,SLOT-18,23.79783333,65.10169492,36.63,31.52
30-12-2021,SLOT-19,35.50166667,69.91525424,35.565,31.05
30-12-2021,SLOT-20,35.323,72.13559322,32.49166667,33.77166667
30-12-2021,SLOT-21,51.3065,85.22033898,29.9,42.16666667
30-12-2021,SLOT-22,39.85083333,72.42372881,30.24333333,51.13333333
30-12-2021,SLOT-22,39.85083333,72.42372881,30.24333333,51.13333333
30-12-2021,SLOT-24,45.87566667,74.20338983,30.78166667,53.14833333
31-12-2021,SLOT-1,65.64525424,83.5862069,30.86779661,52.95084746
31-12-2021,SLOT-2,52.93183333,79.6440678,30.50333333,53.61666667
31-12-2021,SLOT-3,37.6975,71,30.08,55.45166667
31-12-2021,SLOT-4,29.27016667,64.03389831,29.49666667,57.49833333
31-12-2021,SLOT-5,30.284,59.15517241,29.16833333,54.89333333
31-12-2021,SLOT-6,30.00466667,58.28813559,28.81666667,51.97666667
31-12-2021,SLOT-7,31.18466667,59.42372881,28.81333333,49.28833333
31-12-2021,SLOT-8,27.94583333,57.28813559,29.025,48.17166667
31-12-2021,SLOT-9,34.108,51.08474576,28.86666667,49.09666667
31-12-2021,SLOT-10,26.94183333,47.77966102,28.68166667,49.78666667
31-12-2021,SLOT-11,19.0259322,44.50847458,30.03559322,47.23389831
31-12-2021,SLOT-12,15.08842105,40.86440678,33.1122807,41.5245614
31-12-2021,SLOT-13,18.77135593,46.84745763,37.18305085,34.68983051
31-12-2021,SLOT-14,18.85491228,46.45762712,40.58421053,28.90526316
31-12-2021,SLOT-15,22.72241379,45.79661017,44.09827586,23.23275862
31-12-2021,SLOT-16,18.60983333,46.15254237,40.58333333,28.35833333
31-12-2021,SLOT-17,19.09766667,48.47457627,37.44833333,33.07
31-12-2021,SLOT-18,19.87016667,52.01694915,36.55166667,33.20166667
31-12-2021,SLOT-19,24.591,65.79310345,35.94333333,33.59333333
31-12-2021,SLOT-20,29.66616667,67.69491525,35.25833333,33.405
31-12-2021,SLOT-21,32.3235,65.94915254,31.74666667,33.92666667
31-12-2021,SLOT-22,31.41516667,67.06779661,30.825,40.91333333
31-12-2021,SLOT-22,31.41516667,67.06779661,30.825,40.91333333
31-12-2021,SLOT-24,37.31483333,71.55932203,31.82666667,46.86166667
01-01-2022,SLOT-1,37.3520339,72.96551724,31.52372881,47.45762712
01-01-2022,SLOT-2,37.86666667,71.3220339,30.98333333,48.64
01-01-2022,SLOT-3,36.01,66.52542373,30.67833333,49.00333333
01-01-2022,SLOT-4,32.7385,63.37931034,30.51666667,48.925
01-01-2022,SLOT-5,32.7185,62.72881356,30.55166667,48.805
01-01-2022,SLOT-6,32.2855,59.57627119,30.51666667,48.60333333
01-01-2022,SLOT-7,30.79816667,57.16949153,30.26666667,49.39166667
01-01-2022,SLOT-8,29.173,54.52542373,29.97666667,50.205
01-01-2022,SLOT-9,26.33116667,50.81355932,29.775,50.71
01-01-2022,SLOT-10,17.04233333,43.94915254,29.67833333,51.11333333
01-01-2022,SLOT-11,32.26983333,73.71186441,31.06166667,48.40666667
01-01-2022,SLOT-12,14.843,39.84745763,34.04,42.06666667
01-01-2022,SLOT-13,19.915,57.20689655,38.99166667,32.745
01-01-2022,SLOT-14,17.24483333,42.54237288,42.90333333,27.215
01-01-2022,SLOT-15,17.4485,41,46.655,22.7
01-01-2022,SLOT-16,14.74316667,41.66101695,42.315,28.395
01-01-2022,SLOT-17,13.863,40.49152542,39.04833333,32.90333333
01-01-2022,SLOT-18,16.476,45.77192982,39.21818182,32.49090909
01-01-2022,SLOT-19,16.9125,51.13559322,39.13666667,32.62
01-01-2022,SLOT-20,23.05316667,63.20338983,38.41166667,34.40666667
01-01-2022,SLOT-21,41.00783333,74.06779661,34.86,38.86833333
01-01-2022,SLOT-22,50.87883333,93.47457627,29.45166667,40.6
01-01-2022,SLOT-22,50.87883333,93.47457627,29.45166667,40.6
01-01-2022,SLOT-24,52.18266667,103.5084746,31.205,54.85833333
02-01-2022,SLOT-1,53.16830508,86.65517241,31.22033898,56.43220339
02-01-2022,SLOT-2,32.07583333,72.83050847,31.06,56.02333333
02-01-2022,SLOT-3,24.14966667,69.17241379,30.71333333,56.5
02-01-2022,SLOT-4,21.00183333,67.71186441,30.09666667,56.33333333
02-01-2022,SLOT-5,22.26983333,65.44067797,29.67166667,53.26833333
02-01-2022,SLOT-6,20.465,60.45762712,29.82833333,50.63333333
02-01-2022,SLOT-7,20.17166667,56.6779661,29.54333333,51.09
02-01-2022,SLOT-8,19.2445,55.86440678,29.23666667,52.045
02-01-2022,SLOT-9,14.87166667,50,29.42166667,51.9
02-01-2022,SLOT-10,11.94083333,43,29.25666667,52.79833333
02-01-2022,SLOT-11,10.96466667,35.86440678,31.155,48.015
02-01-2022,SLOT-12,9.097833333,31.375,35.29333333,39.52833333
02-01-2022,SLOT-13,8.2485,35.86440678,39.305,33.09
02-01-2022,SLOT-14,8.792,32.61538462,44.42333333,25.68
02-01-2022,SLOT-15,9.053833333,30.23728814,48.05666667,20.295
02-01-2022,SLOT-16,8.815254237,29.72881356,42.10508475,25.23389831
02-01-2022,SLOT-17,10.06733333,33.45762712,37.13666667,30.12333333
02-01-2022,SLOT-18,11.48983333,35.38983051,37.78166667,30.12166667
02-01-2022,SLOT-19,24.846,61.62711864,39.38166667,29.85833333
02-01-2022,SLOT-20,31.14633333,75.10169492,39.02333333,30.56
02-01-2022,SLOT-21,31.29,74.03389831,36.67666667,40.17666667
02-01-2022,SLOT-22,38.51066667,75.76271186,33.69333333,50.75166667
02-01-2022,SLOT-22,38.51066667,75.76271186,33.69333333,50.75166667
02-01-2022,SLOT-24,28.66116667,74.01694915,32.03,55.16833333
